source,destination,date
yongchuan,guangdong,2020-02-07
yongchuan,snohomish county,2020-01-19
yongchuan,fujian,2020-01-21
fujian,hangzhou,2020-01-26
fujian,selangor,2020-02-20
yongchuan,guangdong,2020-02-28
guangdong,king county,2020-03-03
guangdong,british columbia,2020-03-13
guangdong,british columbia,2020-03-09
british columbia,connecticut,2020-03-13
british columbia,connecticut,2020-03-13
british columbia,connecticut,2020-03-09
british columbia,washington,2020-03-02
british columbia,washington,2020-03-16
british columbia,snohomish county,2020-02-28
british columbia,san joaquin county,2020-03-09
british columbia,king county,2020-02-28
british columbia,king county,2020-02-26
british columbia,king county,2020-03-03
british columbia,sonoma county,2020-02-26
british columbia,washington,2020-03-03
british columbia,king county,2020-03-01
british columbia,washington,2020-03-05
british columbia,washington,2020-03-14
british columbia,washington,2020-03-13
british columbia,washington,2020-03-09
british columbia,idaho,2020-03-15
british columbia,idaho,2020-03-15
british columbia,idaho,2020-03-15
british columbia,king county,2020-02-24
british columbia,king county,2020-03-01
british columbia,washington,2020-03-10
british columbia,manhattan,2020-03-18
british columbia,washington,2020-03-12
british columbia,washington,2020-03-08
washington,grand princess cruise ship,2020-03-05
washington,grand princess cruise ship,2020-03-05
washington,utah,2020-03-20
washington,minnesota,2020-03-09
washington,umatilla county,2020-02-29
washington,umatilla county,2020-02-29
washington,san francisco county,2020-03-14
washington,king county,2020-02-29
washington,king county,2020-02-29
washington,idaho,2020-03-14
washington,british columbia,2020-03-05
washington,king county,2020-02-28
washington,king county,2020-02-28
washington,king county,2020-02-28
washington,king county,2020-02-28
washington,grand princess cruise ship,2020-03-05
washington,perth,2020-03-15
washington,wyoming,2020-03-10
wyoming,idaho,2020-03-15
wyoming,washington,2020-03-13
washington,king county,2020-03-05
washington,minnesota,2020-03-12
washington,minnesota,2020-03-14
washington,seattle,2020-03-08
seattle,connecticut,2020-03-23
washington,snohomish county,2020-02-24
washington,king county,2020-02-28
king county,snohomish county,2020-02-29
king county,snohomish county,2020-02-29
washington,snohomish county,2020-03-02
washington,oregon,2020-03-15
washington,snohomish county,2020-03-02
snohomish county,washington,2020-03-10
snohomish county,idaho,2020-03-14
washington,idaho,2020-03-16
idaho,washington,2020-03-11
idaho,washington,2020-03-09
